year,age_group,accident_cover,deductible_chf,municipality,bfs_number,bfs,region,minimum_premium,best_insurer,best_model,tariff,tariff_type,previous_minimum_premium,previous_insurer,previous_model,previous_tariff,previous_tariff_type,percent_increase,recommendation,action,premium_change,source_url
2026,adult_26_plus,excluded,300,Aeugst am Albis,1,1.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Affoltern am Albis,2,2.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Bonstetten,3,3.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Hausen am Albis,4,4.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Hedingen,5,5.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Kappel am Albis,6,6.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Knonau,7,7.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Maschwanden,8,8.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Mettmenstetten,9,9.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
2026,adult_26_plus,excluded,300,Obfelden,10,10.0,ZH3,406.4,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,378.9,Agrisano,AGRIsmart,AGRIsmart,TAR-DIV,7.26,No changes required,Stay with Agrisano:AGRIsmart,378.90 > 406.40 (+7.26%),https://kvgmapper26.github.io/maps/map-AKL-ERW-OHN-UNF-FRA-300.html
